posicao_risco,id_municipio,uf,regiao,n_alunos,taxa_prevista,taxa_observada,risco_previsto,meta_alfabetizacao_2024,gap_meta_2024,gap_meta_2026,risco_de_perder_meta_2024,situacao_historico,em_treino
5034,2108108,MA,Nordeste,211,0.82059586,0.9052132701421801,0.17940414,76.82,5.239585571289069,4.139585571289061,False,completo,True
5035,5208608,GO,Centro-Oeste,887,0.8209137,0.826381059751973,0.17908633,79.82,2.271369628906257,2.2113696289062545,False,completo,False
5036,2312502,CE,Nordeste,55,0.8209179,0.9636363636363636,0.1790821,79.85,2.2417892456054744,2.191789245605463,False,completo,False
5037,3160009,MG,Sudeste,31,0.82097983,0.45161290322580644,0.17902017,80.0,2.0979843139648438,2.0979843139648438,False,completo,False
5038,3553955,SP,Sudeste,192,0.8209885,0.9166666666666666,0.17901152,80.0,2.098846435546875,2.098846435546875,False,parcial,True
5039,3542503,SP,Sudeste,71,0.8209946,0.8450704225352113,0.17900538,80.0,2.0994644165039062,2.0994644165039062,False,parcial,True
5040,2101350,MA,Nordeste,18,0.82116085,1.0,0.17883915,80.0,2.1160888671875,2.1160888671875,False,completo,False
5041,4127809,PR,Sul,67,0.82132334,0.835820895522388,0.17867666,80.0,2.1323318481445312,2.1323318481445312,False,completo,True
5042,3161908,MG,Sudeste,164,0.8213242,0.9146341463414634,0.17867577,80.0,2.1324234008789062,2.1324234008789062,False,completo,True
5043,5212600,GO,Centro-Oeste,28,0.82152355,0.7142857142857143,0.17847645,80.0,2.1523513793945312,2.1523513793945312,False,completo,True
5044,3119708,MG,Sudeste,51,0.8218074,0.9215686274509803,0.17819262,73.66,8.520740356445316,6.270740356445316,False,completo,True
5045,3121803,MG,Sudeste,61,0.82197714,0.7213114754098361,0.17802286,80.0,2.1977157592773438,2.1977157592773438,False,completo,True
5046,5214408,GO,Centro-Oeste,94,0.82203543,0.8404255319148937,0.17796457,79.15,3.053544616699213,2.773544616699212,False,completo,True
5047,4217154,SC,Sul,19,0.82210314,0.8421052631578947,0.17789686,80.0,2.2103118896484375,2.2103118896484375,False,completo,True
5048,2302206,CE,Nordeste,676,0.8222781,0.8165680473372781,0.17772192,78.39,3.837806091308593,3.287806091308596,False,completo,True
5049,4103800,PR,Sul,91,0.8224748,0.8351648351648352,0.17752522,80.0,2.2474746704101562,2.2474746704101562,False,completo,True
5050,4201604,SC,Sul,45,0.8224987,0.7555555555555555,0.17750132,80.0,2.2498703002929688,2.2498703002929688,False,completo,False
5051,3117207,MG,Sudeste,30,0.8225406,0.7666666666666667,0.17745942,61.58,20.674058837890627,13.754058837890625,False,completo,True
5052,4117453,PR,Sul,71,0.82256925,0.9014084507042254,0.17743075,80.0,2.256927490234375,2.256927490234375,False,completo,True
5053,4117271,PR,Sul,41,0.8226116,0.8536585365853658,0.17738843,80.0,2.2611541748046875,2.2611541748046875,False,completo,True
5054,2305357,CE,Nordeste,292,0.82261497,0.7636986301369864,0.17738503,80.0,2.2614974975585938,2.2614974975585938,False,completo,False
5055,2510600,PB,Nordeste,29,0.822831,1.0,0.17716902,80.0,2.2830963134765625,2.2830963134765625,False,completo,True
5056,2307700,CE,Nordeste,1097,0.82302755,0.8167730173199635,0.17697245,79.79,2.5127572631835875,2.4427572631835943,False,completo,False
5057,3124302,MG,Sudeste,300,0.82304853,0.7233333333333334,0.17695147,66.83,15.47485534667969,10.61485534667969,False,completo,False
5058,2616183,PE,Nordeste,81,0.8231099,0.8271604938271605,0.17689008,80.0,2.3109893798828125,2.3109893798828125,False,completo,False
5059,5210406,GO,Centro-Oeste,522,0.82314646,0.814176245210728,0.17685354,79.11,3.204643859863282,2.9046438598632847,False,completo,True
5060,3148608,MG,Sudeste,110,0.823163,0.7454545454545455,0.17683703,67.16,15.156299438476566,10.426299438476562,False,completo,True
5061,3515608,SP,Sudeste,64,0.8233951,0.859375,0.17660493,80.0,2.339508056640625,2.339508056640625,False,parcial,True
5062,4215356,SC,Sul,24,0.82341033,0.75,0.17658967,80.0,2.341033935546875,2.341033935546875,False,completo,True
5063,3160405,MG,Sudeste,284,0.8234685,0.8169014084507042,0.1765315,80.0,2.3468475341796875,2.3468475341796875,False,completo,True
5064,3546504,SP,Sudeste,47,0.82352173,0.9148936170212766,0.17647827,80.0,2.3521728515625,2.3521728515625,False,parcial,True
5065,3103306,MG,Sudeste,23,0.8236531,0.8695652173913043,0.1763469,80.0,2.3653106689453125,2.3653106689453125,False,completo,True
5066,3130606,MG,Sudeste,49,0.82374734,0.8571428571428571,0.17625266,80.0,2.3747329711914062,2.3747329711914062,False,completo,True
5067,2208908,PI,Nordeste,93,0.82375926,0.8494623655913979,0.17624074,80.0,2.3759231567382812,2.3759231567382812,False,completo,True
5068,4110508,PR,Sul,196,0.82396555,0.826530612244898,0.17603445,80.0,2.3965530395507812,2.3965530395507812,False,completo,True
5069,4125555,PR,Sul,26,0.82420594,0.7307692307692307,0.17579406,80.0,2.42059326171875,2.42059326171875,False,completo,False
5070,4121901,PR,Sul,156,0.8242124,0.8461538461538461,0.17578763,80.0,2.421234130859375,2.421234130859375,False,completo,True
5071,4215604,SC,Sul,37,0.82438135,0.8648648648648649,0.17561865,80.0,2.4381332397460938,2.4381332397460938,False,completo,True
5072,2202026,PI,Nordeste,59,0.82496166,0.9830508474576272,0.17503834,80.0,2.4961700439453125,2.4961700439453125,False,completo,True
5073,3528304,SP,Sudeste,33,0.82498616,0.9393939393939394,0.17501384,80.0,2.4986190795898438,2.4986190795898438,False,parcial,False
5074,4207601,SC,Sul,52,0.8252169,0.8461538461538461,0.17478311,80.0,2.5216903686523438,2.5216903686523438,False,completo,True
5075,5205901,GO,Centro-Oeste,101,0.8252231,0.8217821782178217,0.17477691,72.79,9.732308349609369,7.162308349609376,False,completo,False
5076,4128005,PR,Sul,254,0.825458,0.7755905511811023,0.17454201,80.0,2.5457992553710938,2.5457992553710938,False,completo,True
5077,2313807,CE,Nordeste,224,0.8254611,0.8214285714285714,0.17453891,80.0,2.546112060546875,2.546112060546875,False,completo,True
5078,4119806,PR,Sul,124,0.8254756,0.7983870967741935,0.17452443,80.0,2.5475540161132812,2.5475540161132812,False,completo,False
5079,2205151,PI,Nordeste,51,0.8255641,0.8431372549019608,0.17443591,80.0,2.5564117431640625,2.5564117431640625,False,completo,True
5080,2201002,PI,Nordeste,54,0.82562935,0.9814814814814815,0.17437065,80.0,2.5629348754882812,2.5629348754882812,False,completo,True
5081,5216452,GO,Centro-Oeste,45,0.82564706,0.7777777777777778,0.17435294,77.97,4.594704895019532,3.9047048950195347,False,completo,True
5082,3165560,MG,Sudeste,13,0.82574207,0.8461538461538461,0.17425793,77.0,5.5742034912109375,4.544203491210936,False,completo,True
5083,4107207,PR,Sul,530,0.8258969,0.8264150943396227,0.17410308,80.0,2.589691162109375,2.589691162109375,False,completo,True
5084,5213103,GO,Centro-Oeste,919,0.8260583,0.8411316648531012,0.17394167,80.0,2.6058349609375,2.6058349609375,False,completo,True
5085,4124806,PR,Sul,134,0.8260627,0.8731343283582089,0.17393732,80.0,2.6062698364257812,2.6062698364257812,False,completo,True
5086,4113452,PR,Sul,75,0.8262255,0.7333333333333333,0.17377448,80.0,2.6225509643554688,2.6225509643554688,False,completo,True
5087,5202601,GO,Centro-Oeste,32,0.8262871,0.9375,0.17371291,76.59,6.038707885742184,4.8587078857421915,False,completo,True
5088,4121505,PR,Sul,193,0.826375,0.772020725388601,0.17362499,80.0,2.6374969482421875,2.6374969482421875,False,completo,True
