cluster,idhm,idhm_e,idhm_r,renda_pc,indice_gini,prop_pobreza,prop_pobreza_criancas,taxa_analfabetismo_15_mais,taxa_criancas_fora_escola_6_14,taxa_criancas_dom_sem_fund,taxa_freq_liquida_fundamental,prop_populacao_urbana,pib_per_capita,populacao,part_va_agropecuaria,part_va_industria,part_va_servicos,taxa_agua_esgoto_inadequados,censo_prop_biblioteca,censo_prop_internet,censo_prop_agua_potavel,censo_alunos_por_turma,censo_alunos_por_docente,censo_prop_rural,hist_taxa_alfabetizacao
0,0.08,0.109,0.092,0.329,-0.054,-0.589,-0.498,-0.434,-0.217,-0.21,-0.001,0.142,0.354,0.394,0.079,0.277,0.137,-0.789,0.318,0.06,0.023,-0.032,-0.085,-0.445,0.088
1,-0.105,-0.144,-0.121,-0.434,0.071,0.776,0.657,0.572,0.286,0.277,0.001,-0.188,-0.467,-0.52,-0.104,-0.366,-0.18,1.04,-0.419,-0.079,-0.031,0.042,0.112,0.587,-0.116
