orcamento_%,modelo_recall,modelo_precisao,modelo_encontradas,baseline_recall,baseline_precisao,baseline_encontradas,ganho_criancas,ganho_%
10.0,0.162567183595221,0.646264289602613,18995,0.1575776248673445,0.6164456943886434,18412,583,3.1664132087768846
20.0,0.3009910650097566,0.600327740129389,35169,0.2840026017596111,0.5675583225011972,33184,1985,5.981798457087753
30.0,0.43016329464927594,0.5568888150240984,50262,0.40417137379754203,0.5348486907674187,47225,3037,6.4309158284806776
40.0,0.5324021772619904,0.5285526148094651,62208,0.527943240560063,0.5038511488103503,61687,521,0.8445863796261773
50.0,0.6425319229057547,0.5115946275613462,75076,0.6138098661463147,0.4904803589014115,71720,3356,4.67930842163971
