id_municipio,uf,regiao,cluster,segmento
1503077,PA,Norte,1,2
1503093,PA,Norte,1,3
1503101,PA,Norte,1,2
1503200,PA,Norte,1,3
1503309,PA,Norte,1,2
1503408,PA,Norte,1,3
1503457,PA,Norte,1,2
1503507,PA,Norte,1,3
1503606,PA,Norte,1,3
1503705,PA,Norte,1,2
1503754,PA,Norte,1,2
1503804,PA,Norte,1,3
1503903,PA,Norte,1,2
1504000,PA,Norte,1,2
1504059,PA,Norte,1,3
1504109,PA,Norte,1,2
1504208,PA,Norte,1,1
1504307,PA,Norte,1,3
1504406,PA,Norte,1,3
1504422,PA,Norte,0,1
1504455,PA,Norte,1,2
1504505,PA,Norte,1,2
1504604,PA,Norte,1,2
1504703,PA,Norte,1,2
1504752,PA,Norte,1,2
1504802,PA,Norte,1,2
1504901,PA,Norte,1,2
1504950,PA,Norte,1,2
1504976,PA,Norte,1,2
1505007,PA,Norte,1,3
1505031,PA,Norte,0,0
1505064,PA,Norte,1,2
1505106,PA,Norte,1,2
1505205,PA,Norte,1,2
1505304,PA,Norte,1,2
1505403,PA,Norte,1,2
1505437,PA,Norte,1,2
1505486,PA,Norte,1,2
1505494,PA,Norte,1,2
1505502,PA,Norte,1,3
1505536,PA,Norte,0,1
1505551,PA,Norte,1,3
1505601,PA,Norte,1,3
1505635,PA,Norte,1,2
1505650,PA,Norte,1,2
1505700,PA,Norte,1,2
1505809,PA,Norte,1,2
1505908,PA,Norte,1,2
1506005,PA,Norte,1,2
1506104,PA,Norte,1,3
1506112,PA,Norte,1,3
1506138,PA,Norte,0,1
1506161,PA,Norte,1,3
1506187,PA,Norte,1,2
1506195,PA,Norte,1,2
1506203,PA,Norte,0,3
1506302,PA,Norte,1,3
1506351,PA,Norte,1,3
1506401,PA,Norte,1,2
1506500,PA,Norte,1,3
1506559,PA,Norte,1,2
1506583,PA,Norte,1,3
1506609,PA,Norte,1,3
1506708,PA,Norte,1,3
1506807,PA,Norte,1,3
1506906,PA,Norte,1,2
1507003,PA,Norte,1,3
1507102,PA,Norte,1,3
1507151,PA,Norte,1,3
1507201,PA,Norte,1,2
1507300,PA,Norte,1,2
1507409,PA,Norte,1,3
1507458,PA,Norte,1,2
1507466,PA,Norte,1,3
1507474,PA,Norte,1,2
1507508,PA,Norte,1,2
1507607,PA,Norte,1,3
1507706,PA,Norte,1,2
1507755,PA,Norte,1,2
1507805,PA,Norte,1,2
1507904,PA,Norte,1,3
1507953,PA,Norte,1,2
1507961,PA,Norte,1,3
1507979,PA,Norte,1,3
1508001,PA,Norte,1,3
1508035,PA,Norte,1,2
1508050,PA,Norte,1,2
1508084,PA,Norte,0,0
1508100,PA,Norte,0,1
1508126,PA,Norte,1,2
1508159,PA,Norte,1,2
1508209,PA,Norte,1,3
1508308,PA,Norte,1,2
1508357,PA,Norte,1,3
1508407,PA,Norte,0,0
1600055,AP,Norte,1,0
1600105,AP,Norte,1,3
1600154,AP,Norte,1,2
1600204,AP,Norte,1,3
1600212,AP,Norte,1,3
1600238,AP,Norte,1,3
1600253,AP,Norte,1,2
1600279,AP,Norte,1,2
1600303,AP,Norte,0,1
1600402,AP,Norte,1,2
1600501,AP,Norte,1,3
1600535,AP,Norte,1,3
1600550,AP,Norte,1,3
1600600,AP,Norte,0,1
1600709,AP,Norte,1,2
1600808,AP,Norte,1,2
1700251,TO,Norte,1,0
1700301,TO,Norte,0,3
1700350,TO,Norte,0,0
1700400,TO,Norte,1,3
1700707,TO,Norte,0,1
1701002,TO,Norte,0,0
1701051,TO,Norte,1,3
1701101,TO,Norte,0,0
1701309,TO,Norte,1,3
1701903,TO,Norte,1,3
1702000,TO,Norte,0,0
1702109,TO,Norte,0,1
1702158,TO,Norte,1,3
1702208,TO,Norte,1,3
1702307,TO,Norte,0,1
1702406,TO,Norte,1,3
1702554,TO,Norte,1,3
1702703,TO,Norte,1,0
1702901,TO,Norte,1,3
1703008,TO,Norte,1,3
1703057,TO,Norte,1,3
1703073,TO,Norte,1,3
1703107,TO,Norte,0,0
1703206,TO,Norte,1,0
1703305,TO,Norte,1,0
1703602,TO,Norte,0,0
