,auc_roc,auc_pr_risco,f1,f1_risco,precisao_risco,recall_risco,acuracia,brier,tempo_s
RandomForest,0.6556286488171382,0.5394630920930904,0.7348848246521009,0.4146238444799692,0.58147381680763,0.32217726188794626,0.6350530652515933,0.2228253128723253,164.4
XGBoost,0.654340404018571,0.5402721612382232,0.7322802398712885,0.421357668233261,0.5758103768558386,0.3322393293062907,0.6339297618730168,0.22329778969287872,83.3
LogisticRegression,0.6441682088139893,0.5256268415033429,0.7231879784210279,0.43145438350935233,0.5568035521925331,0.35217235964205296,0.6276599290685582,0.2262866620775822,65.0
Baseline: taxa municipal 2023,0.6277747434364559,0.5085965578498917,0.685042831258778,0.4821702420193545,0.5133479089057998,0.4545628276819024,0.6083171115436922,0.23113800846059662,
Baseline: classe majoritária,0.5,0.4011659689074958,0.7490884224966279,0.0,0.0,0.0,0.5988340310925042,0.24023183429800593,
