k,silhueta,inercia
2,0.28334178317991776,95556.49036316993
3,0.17221993663185753,87005.70523075636
4,0.17710047102818327,80606.19754724382
5,0.13001020183604892,76844.31415431046
6,0.16968291304419247,74251.67004237467
7,0.12308288965777278,70683.99977711386
8,0.11140743948972387,68548.53038768804
